Title,Date Written,Rating,Current/Former,Job Title,Location,Recommendation?,Outlook,Main Text,Pros,Cons,Advice to management
"""Pretty OK""","Mar 27, 2016",4.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,Approves of CEO,"Competitive co-workers, freedom to do whatever you want, perks.","The cafeterias are overrates, they all the same. I prefer to get paid more so I could eat out.",
"""Solutions Consultant""","Mar 6, 2016",5.0,Former Employee,Solutions Consultant,"New York, NY",Recommends,Positive Outlook,"+Free food, great pay, and amazing benefits","+The people you work with are all intelligent, highly motivated, and friendly. Management is also amazing. They do a great job of hiring the right people.",Nothing I can think of right now.,
"""Great company and perks""","Mar 10, 2016",5.0,Current Employee,Anonymous Employee,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than 3 years),Exciting to work in a company that powers billions of people's lives everyday.,Becoming more conventional as size grows with a limited scope of what one can do.,
"""Awesome!""","Mar 12, 2016",5.0,Current Employee,Senior Software Engineer,"Mountain View, CA",Recommends,,+ Great coworkers,+ Awesome projects,"- Size of the company is huge, so don't expect startup culture.",
"""Great company, frustrating hiring process.""","Mar 13, 2016",5.0,Current Employee,Software Engineer,"Mountain View, CA",Recommends,,I have been working at Google (Less than a year),"Very impactful work, great coworkers, good work-life balance, some interesting projects.","Due to the size of the company, different divisions of Google have different cultures. It can be hard for job applicants to know which divisions they want to work in.",
"""Great company overall""","Mar 24, 2016",4.0,Former Employee,Human Resources Manager,"Mountain View, CA",Recommends,Positive Outlook,I worked at Google full-time (More than 8 years),The company is making a huge impact in the world. Engineering pushes the boundaries. Great benefits and overall pay.,HR is political and has lots of red-tape. Talent isn't what it used to be. Below average talent are hired and sometimes promoted.,
"""Entry Level Google""","Mar 24, 2016",4.0,Current Employee,Google Enterprise,"Austin, TX",,Positive Outlook,I have been working at Google (More than a year),Nice perks means a cool environment,Remote office means you are disconnected,
"""Awesome Company""","Mar 8, 2016",5.0,Current Employee,Event Manager,"Mountain View, CA",Recommends,,Approves of CEO,"This is by far the best job I've ever had, and the best company I'd worked for. You really feel valued, respect, and also challenged here. You have a lot of autonomy over your work and creative license. You're around the most inspirational, intelligent, and passionate people you'll ever meet in life.","You work ALL of the time. As in Google is your life...but you love it so much, you don't mind.",
"""Google Recruiter Review""","Mar 24, 2016",4.0,Current Employee,Lead Recruiter,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google (More than 5 years),Lots of opportunity to work on anything you want in your spare time.,"Very difficult to promote, depending on what group you belong to.",
"""Not gooood""","Feb 12, 2016",5.0,Current Employee,Technical Program Manager,"Los Angeles, CA",Doesn't Recommend,Negative Outlook,I have been working at Google part-time (More than 10 years),Its just gooogle. Thats pretty much it to be honest. People think you are smart but you are not,Its just google thats all. Nothing special about it nothing at all i wish i had applied to a different company,
"""Excellent""","Mar 10, 2016",5.0,Current Employee,SWE,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than 10 years),"engaging, challenging, friendly, fun, top","fast pace, competitive, changing, fast, fast",
"""still a pretty decent place""","Mar 5, 2016",5.0,Current Employee,Senior Research Scientist,"Mountain View, CA",Recommends,Positive Outlook,Approves of CEO,"Competent colleague, good benefits, interesting projects",Many smart people working on similar projects,
"""Amazing!""","Mar 6, 2016",5.0,Current Employee,Anonymous Employee,"New York, NY",Recommends,Positive Outlook,I have been working at Google full-time (Less than a year),"Google is the best company to work for. The perks are amazing, every detail is considered! The work is interesting and colleagues smart and fun to work with.",It can be a little intimidating when everyone is at the top of their game. When everyone's a high performer it's very hard to stand out.,
"""Great working environment, hard for advancement""","Mar 8, 2016",5.0,Current Employee,Product Manager,"Mountain View, CA",Recommends,Positive Outlook,The commute.,"Great people, great culture, great impact in the work you do. The fact that such a large company has a very open policy for voicing opinions or learning about other projects makes you feel part of a bigger thing.","It's a fairly competitive place, with few room for advancement if you are in a fairly mature team.",
"""Operations Manager""","Mar 22, 2016",4.0,Current Employee,Anonymous Employee,"Mountain View, CA",Recommends,Positive Outlook,I have been working at Google full-time (More than 10 years),"Great environment filled with really smart, motivated people that are looking to change the world! You can work on tons of really exciting, high profile projects that make you feel good about the work you do.","Since the company is so big, decisions are really slow and there's a lot of red tape along the way to get stuff done.",
"""IT Specialists""","Mar 8, 2016",5.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,Approves of CEO,Google was a wonderful place to work. Due to relocation because of family I had to leave. There will never be another place like this,There are no cons about Google. A person is crazy to think there are any cons about this wonderful place.,
"""contract""","Mar 21, 2016",4.0,Former Employee,Anonymous Employee,,,,,"current main stream technology, innovation","too dynamic, high load,",
"""Sales Manager""","Mar 22, 2016",4.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Google full-time,Compensation is fine; Flexibility in job roles,Reorg all the time which makes it hard for long term career development,
"""Devloper""","Mar 6, 2016",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,Approves of CEO,Awesome environment. Great intelligent people to work with.,None so far. I really can't think of any.,
"""Great Place to work""","Mar 6, 2016",5.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,hard to get promoted,exciting projects,company is starting to show age with too much bureaucracy,
"""Staff Mechanical Engineer""","Mar 20, 2016",4.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,Approves of CEO,Great people to work with. Lots of incredibly smart people to learn from.,The company has undergone a huge shift from medium size company to extremely large and has lost of of the positive atmosphere.,
"""Amazing place to do the first 2 years of your career to learn a benchmark""","Feb 14, 2016",5.0,Former Employee,Product Manager,"New York, NY",Recommends,,I worked at Google full-time (More than 5 years),Work with top notch people and learn how to build product for millions of users.,Not a small company. It's slow to deploy product changes and as a product person you'll spend way more time building consensus and getting approval for launching something than actually building the product.,
