Title,Date Written,Rating,Current/Former,Job Title,Location,Recommendation?,Outlook,Main Text,Pros,Cons,Advice to management
"""Enjoy Schwab""","Dec 7, 2017",5.0,Current Employee,Associate,"Westlake, TX",Recommends,Positive Outlook,I have been working at Charles Schwab full-time (More than a year),"Leadership, benefits, flexibility, opportunity, development","outdated systems, delaying improvements, short staffed",
"""Business Project Manager""","Nov 24, 2017",4.0,Current Employee,Project Manager,"Lone Tree, CO",,Neutral Outlook,"What is up with your work from home policy? When a lot of us sit all day on WebEx calls with associates all over the US, why do we have to be in a noisy cube-farm office and need VP approval to work remotly?","Decent pay, intelligent employees, respected company","Some departments are hit or miss with respect to good managers. Reorgs are continuous, employees moved to different groups, and job types with no consideration for individual's intended career path. Small cubes in noisy cube-farm spaces for all job types below Director.",Talk to your employees about their career plans before moving then to other groups.
"""Financial Associate""","Dec 10, 2017",4.0,Former Employee,Anonymous Employee,,Recommends,Neutral Outlook,I worked at Charles Schwab full-time,Great people to work with.,On phones all day and gets old.,None
"""Participant Service Representative""","Dec 4, 2017",4.0,Former Employee,Anonymous Employee,,Recommends,,-There was no variety in the position which led to a lot of burn out,-Company Culture,-Constructive feedback was disregarded,-Listen to the feedback of the employees and guide them into other career opportunities.
"""Amazing company""","Dec 5, 2017",5.0,Former Employee,Anonymous Employee,,Recommends,Positive Outlook,I worked at Charles Schwab full-time,I loved the people and culture,Better benefits and 401k match,
"""Good Starting Company""","Dec 5, 2017",4.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Charles Schwab full-time,"You can get your licenses, you learn a lot about the brokerage industry. Clients are usually very kind. Managers will do their best to help you get where you want to go.","Technology is always broken. Lately, corporate leadership initiatives have been at cross purposes. The promotion process is very slow.",
"""Financial Service Profesional""","Dec 3, 2017",5.0,Current Employee,Anonymous Employee,,,,I have been working at Charles Schwab full-time,Lots of opportunity for advancement. Schwab will pay for certificates to help progress your career. Base pay me seem low but OT is pretty much unlimited,Being on the phone's all day can get repetitive. Besides that there aren't any flaws,
"""Financial service professional""","Dec 1, 2017",4.0,Former Employee,Financial Services Professional,"Denver, CO",Recommends,Positive Outlook,I worked at Charles Schwab full-time (More than a year),"Decent salary, fun group of co-workers, training and licensing paid for, opportunity to learn and advance in company, overtime available","Stressful call center environment,",
"""Desperately needs to modernize technologically, technology team is not fully prepared""","Dec 14, 2017",2.0,Former Employee,"Associate, Software Applications Engineer",,Recommends,Positive Outlook,- Technology management seems to largely get the job from proving cost cutting rather than modernizing,- Great pay,- Everything in technology is outsourced for cost cutting,In technology the bone seems to have been picked dry. There's no more costs to cut. Now you don't even have the chicken dinner the client deserves.
"""IT Director of Project Management""","Nov 27, 2017",5.0,Former Employee,Anonymous Employee,"San Francisco, CA",Recommends,Positive Outlook,I worked at Charles Schwab full-time (More than 10 years),"Great culture, very collaborative, great benefits, great opportunity to work on different projects and different enterprises within the company. Company continues to grow and provide opportunities. Well run organization, with great leadership at the C & EVP levels. A place that you are proud to work at and enjoy coming to work each day","Expanding outside of SF home and reducing the SF / Bay Area footprint. Career opportunities outside of SF, especially Denver, Austin and Dallas are good. There are a few small pockets of hard to work with individuals. Equity is limited to the top 5% of performers which is a discouragement to others.",
"""Managing Director, Product Mgmt / Mktg""","Nov 28, 2017",4.0,Current Employee,Anonymous Employee,,Recommends,Positive Outlook,I have been working at Charles Schwab full-time,"Company is truly mission-driven and operate in a ""through clients' eyes"" way. Employees seem to buy into it. People are very nice and focused on consensus-building. Most of the company prioritizes true work-life balance.",Talent development and strategy in HQ functions is not the best. Dependence on the interest-rate environment for project funding is not ideal and can hurt employee morale when year over year there's no money.,
"""Operations Associate""","Dec 11, 2017",2.0,Former Employee,Anonymous Employee,,,,I worked at Charles Schwab full-time,Not to many pros. You can get your series 7 after working there for 12-18 months.,Not a lot of opportunity to grow in your career. Very focused on micro managing.,
"""Associate Financials Consultant""","Nov 27, 2017",4.0,Current Employee,Anonymous Employee,,Recommends,,I have been working at Charles Schwab full-time,"Great Benefits, Great Company, Work-Life Balance",Non. Great company to work for.,Non. Very transparent to all employees
"""Financial Consultant""","Dec 11, 2017",1.0,Current Employee,Senior Financial Consultant,,Doesn't Recommend,Negative Outlook,Show More,Used to be a great place to work and maybe it will be again. Nice pens in the branch. The people in the branch want to care about clients.,Upper management care very little about current clients. Miss management from the very top down. If Chuck only knew nothing is “from the client’s eyes” anymore he would be very upset. UOP is a joke! The structure for FCs is broken. They don’t want you to care about current advised clients (clients paying a fee for management) and want you to focus on the next conversion into advice. The compensation is a joke. … ,They are blinded by the stock price. We used to be the disrupter to Wall St. We are one of THEM now. Not a job well done. You will get the last laugh when we are sold and you ride off with your millions and the front line people get zero. That sounds like every other Fortune 500 Wall st company/firm.
